,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
0,,,,,40.0,1998.0
1,,,,,48.0,1998.0
2,,,,,20.0,1998.0
3,,,,,4.0,1998.0
4,,,,,40.0,1998.0
5,,,,,40.0,1998.0
6,,,,,40.0,1998.0
7,,,,,50.0,1998.0
8,,,,,14.0,1998.0
9,,,,,50.0,1998.0
10,,,,1998.0,,1998.0
11,,,,,45.0,1998.0
12,,,,,25.0,1998.0
13,,,,,50.0,1998.0
14,,,,,,1998.0
15,,,,,50.0,1998.0
16,,,,,41.0,1998.0
17,,,,,,1998.0
18,,,,,40.0,1998.0
19,,,,,70.0,1998.0
20,,,,,50.0,1998.0
21,,,,,40.0,1998.0
22,,,,,50.0,1998.0
23,,,,,,1998.0
24,,,,1941.0,,1998.0
25,,,,1995.0,6.0,1998.0
26,,,,,,1998.0
27,,,,,50.0,1998.0
28,,,,,37.0,1998.0
29,,,,,40.0,1998.0
30,,,,,70.0,1998.0
31,,,,,4.0,1998.0
32,,,,,10.0,1998.0
33,,,,,60.0,1998.0
34,,,,,40.0,1998.0
35,,,,,,1998.0
36,,,,,45.0,1998.0
37,,,,,36.0,1998.0
38,,,,,,1998.0
39,,,,,50.0,1998.0
40,,,,,5.0,1998.0
41,,,,,,1998.0
42,,,,,45.0,1998.0
43,,,,1998.0,,1998.0
44,,,,,,1998.0
45,,,,,30.0,1998.0
46,,,,,40.0,1998.0
47,,,,,50.0,1998.0
48,,,,,18.0,1998.0
49,,,,,,1998.0
50,,,,,40.0,1998.0
51,,,,,50.0,1998.0
52,,,,,80.0,1998.0
53,,,,,37.0,1998.0
54,,,,,50.0,1998.0
55,,,,,30.0,1998.0
56,,,,,60.0,1998.0
57,,,,,48.0,1998.0
58,,,,,50.0,1998.0
59,,,,,15.0,1998.0
60,,,,,30.0,1998.0
61,,,,,,1998.0
62,,,,,,1998.0
63,,,,1980.0,,1998.0
64,,,,1985.0,,1998.0
65,,,,,,1998.0
66,,,,,,1998.0
67,,,,,35.0,1998.0
68,,,,,64.0,1998.0
69,,,,,,1998.0
70,,,,,50.0,1998.0
71,,,,,35.0,1998.0
72,,,,,40.0,1998.0
73,,,,,40.0,1998.0
74,,,,,32.0,1998.0
75,,,,,,1998.0
76,,,,,40.0,1998.0
77,,,,,44.0,1998.0
78,,,,,,1998.0
79,,,,,40.0,1998.0
80,,,,,,1998.0
81,,,,,52.0,1998.0
82,,,,,50.0,1998.0
83,,,,,56.0,1998.0
84,,,,,89.0,1998.0
85,,,,,,1998.0
86,,,,,71.0,1998.0
87,,,,,55.0,1998.0
88,,,,,,1998.0
89,,,,,55.0,1998.0
90,,,,,50.0,1998.0
91,,,,1996.0,,1998.0
92,,,,,50.0,1998.0
93,,,,,40.0,1998.0
94,,,,,23.0,1998.0
95,,,,,89.0,1998.0
96,,,,1978.0,,1998.0
97,,,,,30.0,1998.0
98,,,,,50.0,1998.0
99,,,,1952.0,4.0,1998.0
100,,,,,54.0,1998.0
101,,,,,55.0,1998.0
102,,,,,25.0,1998.0
103,,,,,40.0,1998.0
104,,,,,40.0,1998.0
105,,,,,,1998.0
106,,,,,40.0,1998.0
107,,,,,52.0,1998.0
108,,,,,,1998.0
109,,,,,,1998.0
110,,,,,,1998.0
111,,,,,,1998.0
112,,,,,,1998.0
113,,,,,,1998.0
114,,,,,,1998.0
115,,,,,45.0,1998.0
116,,,,,,1998.0
117,,,,,60.0,1998.0
118,,,,1991.0,,1998.0
119,,,,,45.0,1998.0
120,,,,,,1998.0
121,,,,,,1998.0
122,,,,,60.0,1998.0
123,,,,,50.0,1998.0
124,,,,,40.0,1998.0
125,,,,,,1998.0
126,,,,1955.0,,1998.0
127,,,,,,1998.0
128,,,,,,1998.0
129,,,,,,1998.0
130,,,,1987.0,,1998.0
131,,,,,,1998.0
132,,,,,,1998.0
133,,,,,52.0,1998.0
134,,,,,,1998.0
135,,,,,40.0,1998.0
136,,,,,40.0,1998.0
137,,,,,,1998.0
138,,,,1983.0,,1998.0
139,,,,,40.0,1998.0
140,,,,,50.0,1998.0
141,,,,,40.0,1998.0
142,,,,,,1998.0
143,,,,,40.0,1998.0
144,,,,,32.0,1998.0
145,,,,,60.0,1998.0
146,,,,,,1998.0
147,,,,,27.0,1998.0
148,,,,,,1998.0
149,,,,,50.0,1998.0
150,,,,,40.0,1998.0
151,,,,,43.0,1998.0
152,,,,,,1998.0
153,,,,,50.0,1998.0
154,,,,,84.0,1998.0
155,,,,,68.0,1998.0
156,,,,,40.0,1998.0
157,,,,,,1998.0
158,,,,,,1998.0
159,,,,,45.0,1998.0
160,,,,,,1998.0
161,,,,,,1998.0
162,,,,,,1998.0
163,,,,,,1998.0
164,,,,1991.0,,1998.0
165,,,,,40.0,1998.0
166,,,,,35.0,1998.0
167,,,,,,1998.0
