,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,,Source
0,2.0,1.0,3.0,3.0,3.0,2.0,,2.0,2.0,,1.0,2.0,,2.0,,,,2.0,1.0,,0.0,2.0,3.0,3.0,2.0,1.0,,,2.0,3.0,2.0,2.0,,
1,1.0,2.0,2.0,3.0,2.0,0.0,,2.0,1.0,,3.0,3.0,,3.0,3.0,,,3.0,2.0,,,3.0,1.0,2.0,,,3.0,,3.0,3.0,,3.0,,
2,3.0,3.0,2.0,1.0,3.0,1.0,,2.0,3.0,,2.0,3.0,,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,3.0,2.0,2.0,3.0,,,1.0,2.0,2.0,2.0,,,
3,2.0,3.0,2.0,3.0,3.0,3.0,,2.0,3.0,,2.0,2.0,,3.0,3.0,,3.0,2.0,,,,2.0,,,,3.0,2.0,,,,2.0,,,
4,2.0,2.0,1.0,2.0,3.0,2.0,,3.0,1.0,,3.0,2.0,,3.0,3.0,3.0,,3.0,1.0,2.0,1.0,2.0,,2.0,,2.0,2.0,0.0,,3.0,3.0,3.0,,
5,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,3.0,,3.0,2.0,,1.0,,,2.0,,1.0,2.0,2.0,3.0,2.0,3.0,2.0,,,,0.0,3.0,,2.0,,
6,3.0,3.0,2.0,2.0,3.0,1.0,,3.0,2.0,,3.0,3.0,,2.0,3.0,1.0,,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,,,0.0,2.0,,
7,2.0,2.0,3.0,3.0,1.0,2.0,,0.0,1.0,,2.0,2.0,,2.0,2.0,3.0,0.0,,1.0,,2.0,1.0,2.0,2.0,,1.0,,2.0,1.0,,2.0,3.0,,
8,3.0,0.0,1.0,2.0,1.0,1.0,,2.0,3.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,,,
9,1.0,1.0,3.0,3.0,2.0,2.0,,3.0,2.0,,3.0,2.0,,3.0,3.0,,3.0,0.0,2.0,1.0,2.0,3.0,,2.0,,1.0,1.0,3.0,2.0,3.0,2.0,,,
10,2.0,3.0,2.0,2.0,2.0,2.0,,1.0,3.0,,2.0,1.0,,2.0,,1.0,2.0,1.0,,,2.0,2.0,,,,2.0,,,0.0,1.0,,3.0,,
11,1.0,2.0,1.0,3.0,1.0,3.0,,2.0,3.0,,2.0,0.0,,1.0,2.0,3.0,0.0,,3.0,,2.0,3.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,,,
12,3.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,,3.0,3.0,,1.0,,,2.0,,,,2.0,3.0,2.0,,,3.0,2.0,3.0,1.0,2.0,,0.0,,
13,2.0,2.0,1.0,2.0,1.0,2.0,,0.0,2.0,,1.0,0.0,,3.0,,3.0,,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,3.0,,
14,3.0,2.0,3.0,2.0,1.0,2.0,,1.0,1.0,,3.0,1.0,,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,1.0,,,,,,,
15,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,,2.0,,3.0,1.0,1.0,2.0,,3.0,2.0,,
16,1.0,0.0,0.0,3.0,3.0,3.0,,3.0,1.0,,2.0,1.0,,3.0,2.0,,0.0,,2.0,,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,,3.0,3.0,,,
17,1.0,0.0,0.0,2.0,2.0,2.0,,2.0,2.0,,1.0,2.0,,3.0,2.0,,1.0,2.0,,2.0,3.0,3.0,,,3.0,,,,,2.0,,3.0,,
18,3.0,2.0,0.0,3.0,2.0,3.0,,2.0,0.0,,3.0,1.0,,1.0,2.0,3.0,3.0,,2.0,0.0,2.0,1.0,2.0,2.0,,1.0,3.0,2.0,1.0,,,3.0,,
19,2.0,1.0,0.0,1.0,1.0,1.0,,2.0,3.0,,2.0,2.0,,0.0,0.0,,2.0,2.0,,3.0,2.0,3.0,3.0,2.0,,3.0,2.0,,3.0,3.0,2.0,,,
